INR_value,INR_freq
0.9,0
1.1,0.01
1.2,0.02
1.24,0.01
1.3,0.02
1.4,0.03
1.5,0.04
1.6,0.04
1.7,0.05
1.8,0.04
1.84,0.01
1.9,0.05
2,0.06
2.1,0.05
2.14,0.01
2.2,0.06
2.28,0.01
2.3,0.05
2.35,0.01
2.4,0.04
2.48,0.01
2.5,0.04
2.52,0.01
2.6,0.04
2.63,0.01
2.7,0.04
2.8,0.04
2.9,0.03
3,0.02
3.06,0.01
3.1,0.02
3.2,0.02
3.3,0.01
3.4,0.01
3.5,0.01
3.6,0.01
3.7,0.01
3.86,0.01
4.1,0.01
4.7,0.01
5.13,0.01
11,0.01
